,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
67,0.0646,0.95,0.743,1.0,10.0,0.103,5.861,0.0,0.238,136.98,0.62
68,0.22,0.68,0.843,3.0,1.0,0.378,4.919,1.0,0.241,81.958,0.743
69,0.052,0.817,0.587,0.0,2.0,0.185,6.502,1.0,0.108,140.062,0.352
70,0.0232,0.89,0.633,0.0,11.0,0.0993,5.475,1.0,0.168,139.948,0.425
71,0.0151,0.884,0.346,7.0,8.0,0.0871,8.228,0.0,0.351,75.016,0.376
72,0.012,0.791,0.586,0.0,11.0,0.46,7.372,0.0,0.29,163.029,0.413
73,0.0343,0.872,0.389,0.0,1.0,0.0941,8.343,1.0,0.0634,131.012,0.156
74,0.0102,0.833,0.434,0.0,2.0,0.165,8.795,1.0,0.431,150.062,0.281
75,0.0293,0.726,0.769,0.0,6.0,0.104,5.043,1.0,0.123,97.985,0.733
76,0.53,0.745,0.685,0.0,4.0,0.176,5.7,0.0,0.0313,121.977,0.437
77,0.398,0.507,0.464,2.0,3.0,0.603,8.531,0.0,0.171,147.984,0.277
78,0.0335,0.655,0.496,0.0,3.0,0.156,4.139,0.0,0.0364,137.945,0.28
79,0.0717,0.86,0.678,0.0,2.0,0.0742,4.547,1.0,0.0793,142.074,0.724
80,0.0105,0.714,0.765,0.0,4.0,0.566,6.215,0.0,0.354,74.986,0.52
81,0.181,0.635,0.777,0.0,1.0,0.357,6.018,1.0,0.231,128.09,0.177
82,0.492,0.897,0.598,0.0,2.0,0.0646,7.164,1.0,0.0466,119.966,0.528
83,0.523,0.848,0.663,0.0,8.0,0.108,5.606,0.0,0.245,133.993,0.333
84,0.408,0.627,0.462,0.0,0.0,0.155,7.686,0.0,0.253,78.811,0.836
85,0.274,0.86,0.561,0.0,6.0,0.108,5.757,0.0,0.185,152.984,0.354
86,0.00902,0.785,0.617,0.0,1.0,0.351,5.871,1.0,0.0522,103.981,0.382
87,0.0075,0.668,0.503,0.0,7.0,0.441,8.196,0.0,0.365,160.054,0.333
88,0.0591,0.837,0.459,0.0,4.0,0.234,7.99,0.0,0.302,101.996,0.319
89,0.0855,0.914,0.507,0.0,2.0,0.0797,10.784,1.0,0.164,123.956,0.199
